Year,country,Origin,value
2017,United States of America,Germany,40
2017,United States of America,Djibouti,282
2017,United States of America,Dominica,10
2017,United States of America,Dominican Rep.,179
2017,United States of America,Algeria,131
2017,United States of America,Ecuador,948
2017,United States of America,Egypt,11926
2017,United States of America,Eritrea,5145
2017,United States of America,Spain,11
2017,United States of America,Estonia,266
2017,United States of America,Ethiopia,9987
2017,United States of America,Fiji,231
2017,United States of America,France,24
2017,United States of America,Gabon,40
2017,United States of America,United Kingdom,39
2017,United States of America,Georgia,382
2017,United States of America,Ghana,399
2017,United States of America,Guinea,2305
2017,United States of America,Gambia,1503
2017,United States of America,Guinea-Bissau,24
2017,United States of America,Equatorial Guinea,9
2017,United States of America,Greece,15
2017,United States of America,Grenada,24
2017,United States of America,Guatemala,14971
2017,United States of America,Guyana,75
2017,United States of America,Honduras,10107
2017,United States of America,Croatia,34
2017,United States of America,Haiti,17055
2017,United States of America,Hungary,18
2017,United States of America,Indonesia,1834
2017,United States of America,India,4836
2017,United States of America,Iran (Islamic Rep. of),5536
2017,United States of America,Iraq,6130
2017,United States of America,Israel,138
2017,United States of America,Italy,20
2017,United States of America,Jamaica,697
2017,United States of America,Jordan,428
2017,United States of America,Japan,6
2017,United States of America,Kazakhstan,707
2017,United States of America,Kenya,2087
2017,United States of America,Kyrgyzstan,1270
2017,United States of America,Cambodia,139
2017,United States of America,Rep. of Korea,29
2017,United States of America,Kuwait,130
2017,United States of America,Lao People's Dem. Rep.,108
2017,United States of America,Lebanon,378
2017,United States of America,Liberia,1179
2017,United States of America,Libya,280
2017,United States of America,Saint Lucia,9
2017,United States of America,Sri Lanka,1270
2017,United States of America,Lesotho,6
2017,United States of America,Lithuania,20
2017,United States of America,Latvia,19
2017,United States of America,Morocco,114
2017,United States of America,Rep. of Moldova,1400
2017,United States of America,Madagascar,17
2017,United States of America,Maldives,6
2017,United States of America,Mexico,7709
2017,United States of America,Marshall Islands,7
2017,United States of America,The former Yugoslav Republic of Macedonia,108
2017,United States of America,Mali,1191
2017,United States of America,Myanmar,1623
2017,United States of America,Montenegro,109
2017,United States of America,Mongolia,766
2017,United States of America,Mauritania,944
2017,United States of America,Mauritius,31
2017,United States of America,Malawi,33
2017,United States of America,Malaysia,93
2017,United States of America,Namibia,45
2017,United States of America,Niger,138
2017,United States of America,Nigeria,1154
2017,United States of America,Nicaragua,563
2017,United States of America,Niue,19
2017,United States of America,Netherlands,13
2017,United States of America,Nepal,6907
2017,United States of America,Pakistan,3308
2017,United States of America,Panama,15
2017,United States of America,Peru,528
2017,United States of America,Philippines,145
2017,United States of America,Poland,23
2017,United States of America,Dem. People's Rep. of Korea,12
2017,United States of America,Paraguay,19
2017,United States of America,Qatar,13
2017,United States of America,Romania,371
2017,United States of America,Russian Federation,5463
2017,United States of America,Rwanda,1079
2017,United States of America,Saudi Arabia,391
2017,United States of America,Sudan,1382
2017,United States of America,Senegal,388
2017,United States of America,Singapore,15
2017,United States of America,Sierra Leone,523
2017,United States of America,El Salvador,18763
2017,United States of America,Somalia,2297
2017,United States of America,Serbia and Kosovo (S/RES/1244 (1999)),1039
2017,United States of America,South Sudan,7
2017,United States of America,Suriname,9
2017,United States of America,Slovakia,10
2017,United States of America,Sweden,8
2017,United States of America,Syrian Arab Rep.,7282
2017,United States of America,Turks and Caicos Islands,14
2017,United States of America,Chad,335
2017,United States of America,Togo,604
2017,United States of America,Thailand,29
2017,United States of America,Tajikistan,283
2017,United States of America,Turkmenistan,159
2017,United States of America,Trinidad and Tobago,55
2017,United States of America,Tunisia,54
2017,United States of America,Turkey,428
2017,United States of America,United Rep. of Tanzania,133
2017,United States of America,Uganda,1301
2017,United States of America,Ukraine,1812
2017,United States of America,Uzbekistan,1210
2017,United States of America,Saint Vincent and the Grenadines,31
2017,United States of America,Venezuela (Bolivarian Republic of),5402
2017,United States of America,Viet Nam,256
2017,United States of America,Stateless,455
2017,United States of America,Yemen,549
2017,United States of America,South Africa,40
2017,United States of America,Zambia,44
2017,United States of America,Zimbabwe,1049
2017,Uzbekistan,Afghanistan,20
2017,Venezuela (Bolivarian Republic of),Afghanistan,10
2017,Venezuela (Bolivarian Republic of),Chile,10
2017,Venezuela (Bolivarian Republic of),Colombia,122677
2017,Venezuela (Bolivarian Republic of),Western Sahara,11
2017,Venezuela (Bolivarian Republic of),Haiti,7
2017,Venezuela (Bolivarian Republic of),Iraq,18
2017,Venezuela (Bolivarian Republic of),Lebanon,12
2017,Venezuela (Bolivarian Republic of),Liberia,9
2017,Venezuela (Bolivarian Republic of),Nigeria,7
2017,Venezuela (Bolivarian Republic of),Palestinian,7
2017,Venezuela (Bolivarian Republic of),Turkey,6
2017,Yemen,Egypt,16
2017,Yemen,Eritrea,1370
2017,Yemen,Ethiopia,6205
2017,Yemen,Iraq,3351
2017,Yemen,Jordan,12
2017,Yemen,Palestinian,625
2017,Yemen,Sudan,124
2017,Yemen,Somalia,255894
2017,Yemen,Syrian Arab Rep.,3286
2017,Yemen,Viet Nam,15
2017,South Africa,Angola,25
2017,South Africa,Burundi,3000
2017,South Africa,Bangladesh,319
2017,South Africa,Côte d'Ivoire,41
2017,South Africa,Cameroon,392
2017,South Africa,Dem. Rep. of the Congo,26043
2017,South Africa,Congo,5261
2017,South Africa,Eritrea,1924
2017,South Africa,Ethiopia,17562
2017,South Africa,Kenya,155
2017,South Africa,Liberia,60
2017,South Africa,Palestinian,38
2017,South Africa,Rwanda,1295
2017,South Africa,Sudan,112
2017,South Africa,Somalia,26977
2017,South Africa,Syrian Arab Rep.,45
2017,South Africa,United Rep. of Tanzania,37
2017,South Africa,Uganda,549
2017,South Africa,Zambia,64
2017,South Africa,Zimbabwe,4558
2017,Zambia,Burundi,3267
2017,Zambia,Dem. Rep. of the Congo,34928
2017,Zambia,Eritrea,8
2017,Zambia,Ethiopia,18
2017,Zambia,Liberia,6
2017,Zambia,Palestinian,10
2017,Zambia,Rwanda,715
2017,Zambia,Sudan,24
2017,Zambia,Somalia,2174
2017,Zambia,Turkey,12
2017,Zambia,Uganda,21
2017,Zambia,South Africa,7
2017,Zambia,Zimbabwe,5
2017,Zimbabwe,Burundi,622
2017,Zimbabwe,Côte d'Ivoire,10
2017,Zimbabwe,Dem. Rep. of the Congo,6296
2017,Zimbabwe,Congo,13
2017,Zimbabwe,Egypt,5
2017,Zimbabwe,Eritrea,20
2017,Zimbabwe,Ethiopia,68
2017,Zimbabwe,Rwanda,500
2017,Zimbabwe,Sudan,5
2017,Zimbabwe,Somalia,19
2017,Zimbabwe,Uganda,8
